6.821493230815534048e+01,8.656084823204685108e+01,8.006018645173713821e+01,6.227351646954986819e+01,5.973189138859022762e+01,5.973189138859022762e+01,7.484280443119634185e+01,7.660868489368530732e+01,9.472062064912141466e+01,1.100462027476530409e+02,8.700700912188075620e+01
9.549454471315092974e+01,1.181048644727593597e+02,1.359794106200754129e+02,1.415748205257161203e+02,1.429173612725668079e+02,1.429173612725668079e+02,1.540023068351119662e+02,1.631349784239749567e+02,1.635296625266789476e+02,1.470759174635320221e+02,1.184219679101339864e+02
1.492122099091711505e+02,1.622892352204124222e+02,1.470393872677525451e+02,1.753129477251063122e+02,2.094742361128138839e+02,2.094742361128138839e+02,1.806185451392120740e+02,1.716836192260290375e+02,1.427139505460964415e+02,1.543928393426943728e+02,1.697038718185027619e+02
1.514846902843616760e+02,1.779366859167134294e+02,1.762921585842894956e+02,1.968025050984514337e+02,2.039669079720773652e+02,2.039669079720773652e+02,1.544215174524593124e+02,1.504192705574901652e+02,1.364746647681938327e+02,1.717921378021343060e+02,1.834657885907084847e+02
1.248043257485356463e+02,1.322790161458717932e+02,1.700751147040038518e+02,2.019699725053358179e+02,1.845273603386022501e+02,1.845273603386022501e+02,8.533330310679612296e+01,1.240635304854368854e+02,1.537432615134398191e+02,1.645092335862954087e+02,1.413699617676321623e+02
1.159346323721415501e+02,1.363118875383134139e+02,1.676810110589746046e+02,1.788012970376314001e+02,1.754913747946722822e+02,1.754913747946722822e+02,1.053372218903955826e+02,1.323085712773810485e+02,1.347390728038193117e+02,1.192164924546257083e+02,7.602954887635399928e+01
9.598485132407768106e+01,1.440660618504372792e+02,1.666009169338040579e+02,1.506604860346625969e+02,1.812932251138569768e+02,1.812932251138569768e+02,1.182209145043729279e+02,1.430947524037551091e+02,1.149185059476851336e+02,1.016581613091550906e+02,1.059300523499959752e+02
1.075146491340768620e+02,1.494257597642622102e+02,1.425985802644628109e+02,1.292755998624729159e+02,1.946460264138650018e+02,1.946460264138650018e+02,1.047882488697745202e+02,1.506438971871940851e+02,1.501527365454545304e+02,1.175074162557971533e+02,1.370268152842814402e+02
1.016432532884538062e+02,1.240746459491294189e+02,1.305857800725347033e+02,1.469002790247934058e+02,1.743618286205568495e+02,1.743618286205568495e+02,1.043247797605713032e+02,1.379611924785365034e+02,1.824481989713551968e+02,1.774121379849153470e+02,1.401401258629543349e+02
6.152085617523869843e+01,8.783922379683862403e+01,1.145785822739308486e+02,1.076862832168819608e+02,7.972221647436411729e+01,7.972221647436411729e+01,5.623439554826286013e+01,5.930071427232608983e+01,8.391938065313327400e+01,1.108172323052234844e+02,1.245093110812806003e+02
3.424721624071250403e+01,4.976754791703442038e+01,5.173254354453984405e+01,3.402155033945278007e+01,1.755034764162721572e+01,1.755034764162721572e+01,1.275141128846987293e+01,1.342232145517130881e+01,1.261171062927064135e+01,2.196401321158629472e+01,4.980818614474845418e+01
