,Bypass No Chan,Bypass Chan,Cells,Total
Power,0.2768967527709943,0.17841315886860043,0.5446900883604053,1.0
Absorbed,0.006153261172688764,0.011061615849853221,0.3377078547834512,0.35492273180599326
Reflected,0.01873947720773396,0.029438171213319066,0.11438491855568508,0.1625625669767381
Transmitted,0.2520040143905716,0.13791337180542812,0.09259731502126892,0.4825147012172686
