T_amb,18,21,25
T_cell_lim,100,105,110
m_dot,0.001,0.01,0.01
t_saph,0.001,0.001,0.003
t_encap,0.000025,0.000025,0.00006
k_saph,27,27,40
k_opad,0.2,0.2,0.2
k_air,0.03,0.03,0.03
Bubbles,0,0.1,0.7
Prev Conc,300,550,700
DNI,600,800,900
Channel Depth,0.0001,0.0001,0.00025
Cell Eff,0.11,0.15,0.22
