,0
heatFraction,0.4824572
elecFraction,0.130455
topR,90.1607932597
bottomR,6.73031734788
sideR,1818.1818181818182
TCS,"{'AB22': 40.67349079719159, 'BC66': 31.976294964049686, 'DD44': 51.702981949836271, 'EF22': 43.429904982967003, 'FG55': 49.542176723669201}"
