,0
heatFraction,0.4824572
elecFraction,0.130455
topR,90.1687913324
bottomR,6.730361912
sideR,1818.1818181818182
TCS,"{'AB23': 40.244252894889485, 'DE78': 45.648173034696001, 'FG67': 37.604280124678354, 'HI33': 43.865807026409442}"
