,Bypass No Chan,Bypass Chan,Cells,Total
Power,0.4329004342979695,0.20787128266661428,0.35922828303541626,1.0
Absorbed,0.021255411324030304,0.013844227425596517,0.22793034558597167,0.2630299843355985
Reflected,0.02865800875052558,0.016795999639462444,0.08783131520215927,0.1332853235921473
Transmitted,0.3829870142234136,0.17723105560155533,0.04346662224728536,0.6036846920722543
